StudyNo,AgeGroup,PrimeInstruction,ExperimentName,Subject,Procedure,Trial,Both,Neither,Phonological,Semantic,Prime,PrimeCondition,Question.RESP,State.RT,FreeResp,FreeResp.RT,Accuracy,FreeRespPrimeIntrusion,Target,MCCorrect,McResp,McAcc,McRT,a,b,c,d,e,McActualResp,WhichPrime,ToEliminate,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Word8,Word9,Word10,Word11,Word12,Word13,Word14,Word15,Word16,Word17,Word18,Word19,Word20,Word21,Word22
6,Old,NotThePrime,tot not the prime,701,ExpProc1,11,Cunningham,point,cummerbund,Browning,BROWNING,R,2,1907,0,403,0,0,Cummings,e,e,1,8966,point,Cunningham,cummerbund,Browning,Cummings,Cummings,X,0,20th,century,American,poet,whose,trademark,was,using,only,lowercase,letters,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,12,omniscient,shrimp,omnivorous,endless,OMNISCIENT,B,1,4516,omnipotent,4348,1,0,omnipotent,d,d,1,2932,omniscient,endless,shrimp,omnipotent,omnivorous,omnipotent,X,0,Having,unlimited,power;,able,to,do,anything,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,13,individualism,finger,idiomatic,uniqueness,INDIVIDUALISM,B,2,0,0,1878,0,0,idiosyncrasy,a,c,0,5681,idiosyncrasy,idiomatic,uniqueness,individualism,finger,uniqueness,R,1,A,distinctive,or,peculiar,feature,or,characteristic,of,an,"individual,","place,",or,thing,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,14,Ontario,jump,otter,Toronto,JUMP,U,2,9864,0,1185,0,0,Ottawa,e,b,0,7953,jump,Ontario,otter,Toronto,Ottawa,Ontario,B,0,Capital,of,Canada,,,,,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,15,heave,shade,hot,dredge,HEAVE,B,1,0,hoist,8216,1,0,hoist,c,c,1,2646,dredge,shade,hoist,hot,heave,hoist,X,0,To,raise,into,position,by,means,of,a,pulley,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,16,Pilsen,coin,prawn,Belgrade,COIN,U,2,6462,0,1339,0,0,Prague,a,c,0,8457,Prague,prawn,Belgrade,Pilsen,coin,Belgrade,R,0,Capital,of,Czechoslovakia,,,,,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,17,Melville,bunch,miracle,Albee,MELVILLE,B,2,2726,0,808,0,0,Miller,c,c,1,9147,Albee,bunch,Miller,miracle,Melville,Miller,X,0,Last,name,of,the,author,of,The,Crucible,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,18,typhoon,grow,turmeric,hurricane,GROW,U,1,4958,tsunami,3169,1,0,tsunami,c,c,1,3260,hurricane,grow,tsunami,turmeric,typhoon,tsunami,X,0,The,proper,name,for,a,"tidal	wave",,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,19,Donne,tennis,dawn,Homer,HOMER,R,2,2307,0,323,0,0,Dante,b,b,1,4390,dawn,Dante,Donne,tennis,Homer,Dante,X,0,Italian,poet,known,for,writing,"The	Inferno",,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,20,differ,llama,diva,split,SPLIT,R,1,8454,change,2324,0,0,diverge,c,c,1,3382,split,llama,diverge,diva,differ,diverge,X,0,To,extend,in,separate,directions,from,a,common,point;,to,turn,aside,or,deviate,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,21,Sardinia,watch,sizzle,Corsica,WATCH,U,2,6209,0,363,0,0,Sicily,e,,0,0,watch,Sardinia,sizzle,Corsica,Sicily,0,X,0,The,largest,Mediterranean,island;,the,Italian,island,known,for,its,archaelogical,sites,and,major,cities,such,as,Palermo,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,22,Alps,phone,android,Himalayas,ANDROID,P,1,5361,rockies,8227,0,0,Andes,c,e,0,13091,Himalayas,phone,Andes,android,Alps,Alps,B,0,South,America's,largest,mountain,range,,,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,23,litigate,uncle,label,perjury,LITIGATE,B,1,1670,fiction,2982,0,0,libel,c,c,1,4140,perjury,uncle,libel,label,litigate,libel,X,0,The,illegal,act,of,writing,untrue,things,about,someone,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,24,Sundsvall,cleat,stockbroker,Copenhagen,CLEAT,U,2,7310,0,630,0,0,Stockholm,c,c,1,3574,Copenhagen,cleat,Stockholm,stockbroker,Sundsvall,Stockholm,X,0,Capital,of,Sweden,,,,,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,25,promiscuous,gem,polygon,marriage,GEM,U,1,2489,bigamy,7100,0,0,polygamy,e,,0,0,gem,promiscuous,polygon,marriage,polygamy,0,X,0,The,practice,of,having,more,than,one,spouse,at,the,same,time,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,26,Osborne,cashew,osmosis,Booth,OSBORNE,B,4,8700,ruby,11464,0,0,Oswald,a,a,1,2753,Oswald,osmosis,Booth,Osborne,cashew,Oswald,X,0,Last,name,of,JFK's,assassin,,,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,27,camoflauge,bagel,camelback,gecko,CAMELBACK,P,1,1102,chameleon,2363,1,0,chameleon,c,c,1,3286,gecko,bagel,chameleon,camelback,camoflauge,chameleon,X,0,A,small,lizard,with,skin,that,changes,color,to,match,its,surroundings,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,28,hibiscus,ill,harbinger,blossoming,HIBISCUS,B,2,6371,0,257,0,0,herbaceous,b,b,1,7942,harbinger,herbaceous,hibiscus,ill,blossoming,herbaceous,X,0,Term,for,type,of,plant,without,woody,or,persistent,"stem,",whose,leaves,and,roots,are,often,used,for,"food,","medicine,",or,scent
6,Old,NotThePrime,tot not the prime,701,ExpProc1,29,algorithm,cat,abscess,slide rule,ABCESS,P,1,2732,abacus,2225,1,0,abacus,d,d,1,2353,algorithm,slide rule,cat,abacus,abscess,abacus,X,0,Instrument,for,performing,calculations,by,sliding,beads,along,rods,or,grooves,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,30,Gerhardt,happy,gestalt,Bernstein,BERNSTEIN,R,1,3779,bernstein,2953,0,Sem,Gershwin,e,d,0,9705,happy,Gerhardt,gestalt,Bernstein,Gershwin,Bernstein,R,0,Last,name,of,American,composer,most,known,for,Rhapsody,in,Blue,and,An,American,in,Paris,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,31,Garner,water,garnish,Ball,BALL,R,1,2737,garland,10470,1,0,Garland,d,d,1,2870,Garner,Ball,water,Garland,garnish,Garland,X,0,Last,name,of,actress,who,played,Dorothy,in,Wizard,of,Oz,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,32,obvious,milk,osteoporosis,flashy,OBVIOUS,B,2,10155,0,555,0,0,ostentatious,d,d,1,5388,obvious,flashy,milk,ostentatious,osteoporosis,ostentatious,X,0,Characterized,by,vulgar,or,conspicuous,display,,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,33,Robertson,vowel,robbery,Ashe,VOWEL,U,1,5150,ruth,1462,0,0,Robinson,d,d,1,3291,Robertson,Ashe,vowel,Robinson,robbery,Robinson,X,0,Last,name,of,first,African,American,Major,League,Baseball,player,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,34,paradigm,runt,parachute,ideal,RUNT,U,2,6124,0,486,0,0,paragon,d,a,0,9321,paradigm,ideal,runt,paragon,parachute,paradigm,B,1,A,person,or,thing,characterized,as,a,perfect,example,of,a,particular,quality,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,35,acronym,chute,analytic,puzzle,ANALYTIC,P,2,2963,0,390,0,0,anagram,b,b,1,7958,analytic,anagram,acronym,chute,puzzle,anagram,X,0,Word,made,by,changing,the,order,of,letters,in,another,word;,e.g.,"plum,",lump,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,36,monogamy,jelly,monogram,invariability,MONOGAMY,B,1,3926,monoty,1817,0,0,monotony,a,a,1,9510,monotony,monogram,invariability,monogamy,jelly,monotony,X,0,Tedious,sameness,of,tone,or,sound,,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,37,neutralize,plain,numbing,invalidate,NEUTRALIZE,B,1,6214,negate,1347,0,0,nullify,b,b,1,5491,numbing,nullify,neutralize,plain,invalidate,nullify,X,1,Make,of,no,use,or,value;,cancel,out,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,38,Cordoba,mint,caravan,Bogota,CARAVAN,P,2,7094,0,436,0,0,Caracas,c,d,0,4668,Bogota,mint,Caracas,caravan,Cordoba,caravan,P,0,Capital,of,Venezuela,,,,,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,39,placebo,hype,panda,remedy,HYPE,U,1,2334,snake,2099,0,0,panacea,c,c,1,4153,remedy,hype,panacea,panda,placebo,panacea,X,0,A,medicine,which,can,cure,any,illness,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,40,abnormality,view,anaerobic,misplacement,ANAEROBIC,P,2,3929,0,588,0,0,anachronism,e,,0,0,view,abnormality,anaerobic,misplacement,anachronism,0,X,1,Something,out,of,keeping,with,the,time,in,which,it,exists,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,41,forest,kick,folding,vegetation,VEGETATION,R,1,3625,bouqet,2977,0,0,foliage,c,a,0,5702,vegetation,kick,foliage,folding,forest,vegetation,R,0,A,cluster,of,"leaves,","buds,",or,branches,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,42,Solo,volt,skyscraper,Kenobi,VOLT,U,3,5520,vader,1347,0,0,Skywalker,c,c,1,3747,Kenobi,volt,Skywalker,skyscraper,Solo,Skywalker,X,0,Last,name,of,Leia's,brother,and,Darth,Vader's,son,in,Star,Wars,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,43,Christie,air,careless,Rowling,CARELESS,P,4,4531,carroll,7697,1,0,Carroll,c,c,1,1878,Rowling,air,Carroll,careless,Christie,Carroll,X,0,Last,name,of,author,of,Alice,in,Wonderland,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,44,disclaim,wrap,difficult,surrender,SURRENDER,R,2,8363,0,358,0,0,default,c,c,1,8817,surrender,wrap,default,difficult,disclaim,default,X,0,To,fail,to,"act,",to,"pay,",or,to,appear,for,judgment,in,court,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,45,epidemiology,night,emblematic,neonatology,NEONATOLOGY,R,4,4694,neonat,10163,0,0,embryology,e,d,0,4822,night,epidemiology,emblematic,neonatology,embryology,neonatology,R,0,The,study,of,the,developing,fetus,before,birth,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,46,abandon,pink,abdomen,resign,ABDOMEN,P,1,2155,abdicate,1659,1,0,abdicate,d,d,1,2409,abandon,resign,pink,abdicate,abdomen,abdicate,X,0,To,formally,renounce,a,throne,,,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,47,diffidence,alarm,decadence,yielding,YIELDING,R,1,11174,bow,1140,0,0,deference,a,c,0,9608,deference,decadence,yielding,diffidence,alarm,yielding,R,0,Humble,submission,and,respect,,,,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,48,befuddle,glass,boardwalk,stupefy,BOARDWALK,P,1,9531,0,2209,0,0,bewilder,a,a,1,3212,bewilder,boardwalk,stupefy,befuddle,glass,bewilder,X,1,To,cause,someone,to,become,perplexed,and,confused,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,49,reiterate,shell,recalculate,outline,SHELL,U,1,5622,synopsis,4411,0,0,recapitulate,e,b,0,7057,shell,reiterate,recalculate,outline,recapitulate,reiterate,B,1,Summarize,and,state,again,the,main,points,of,something,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,50,demonize,rhino,denizen,belittle,BELITTLE,R,1,5558,slander,2577,0,0,denigrate,a,a,1,6423,denigrate,denizen,belittle,demonize,rhino,denigrate,X,1,To,criticize,unfairly;,to,attack,the,reputation,of,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,51,Dubai,print,darken,Rwanda,RWANDA,R,2,3630,0,246,0,0,Darfur,c,c,1,6489,Rwanda,print,Darfur,darken,Dubai,Darfur,X,0,Region,in,Sudan,where,guerilla,conflict,and,possibly,genocide,began,in,2003,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,52,applause,wood,acclimate,testimonial,ACCLIMATE,P,2,8833,0,281,0,0,accolade,e,e,1,6659,wood,applause,acclimate,testimonial,accolade,accolade,X,0,A,ceremonial,embrace;,an,award,or,expression,of,praise,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,53,Quinn,lawn,quake,Mondale,LAWN,U,2,7982,0,379,0,0,Quayle,a,a,1,3624,Quayle,quake,Mondale,Quinn,lawn,Quayle,X,0,Last,name,of,vice,president,of,George,H.W.,Bush,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,54,commitment,freeze,convenient,protocol,PROTOCOL,R,2,3766,0,233,0,0,covenant,d,d,1,8825,commitment,protocol,freeze,covenant,convenient,covenant,X,0,A,promise,between,God,and,humans,,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,55,O'Donnell,train,okra,Ginsburg,O'DONNELL,B,2,1111,0,246,0,0,O'Connor,b,b,1,10936,okra,O'Connor,O'Donnell,train,Ginsburg,O'Connor,X,0,Last,name,of,first,female,US,Supreme,Court,justice,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,56,introduce,yellow,implement,mention,INTRODUCE,B,1,2273,interject,2585,1,0,interject,d,d,1,3169,introduce,mention,yellow,interject,implement,interject,X,0,To,say,something,"abruptly,",especially,as,an,aside,or,interruption,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,57,Carlisle,lock,carwash,Edison,CARWASH,P,1,2337,carver,1638,1,0,Carver,d,d,1,2193,Carlisle,Edison,lock,Carver,carwash,Carver,X,0,Last,name,of,man,credited,with,inventing,peanut,butter,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,58,opaque,lazy,obstruct,esoteric,OPAQUE,B,4,5054,0,7715,0,0,obscure,d,d,1,8606,opaque,esoteric,lazy,obscure,obstruct,obscure,X,0,Not,readily,understood,or,clearly,expressed,,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,59,Clayborn,knock,commence,Sawyer,COMMENCE,P,1,2766,clemmens,1673,0,0,Clemens,d,d,1,1785,Clayborn,Sawyer,knock,Clemens,commence,Clemens,X,0,Original,last,name,of,Mark,Twain,,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,60,Walker,neck,wake,Kent,NECK,U,2,10822,0,267,0,0,Wayne,d,b,0,2595,Walker,Kent,neck,Wayne,wake,Kent,R,0,Last,name,of,Batman's,secret,identity,,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,61,advantageous,bottle,austere,favorable,AUSTERE,P,2,3022,0,300,0,0,auspicious,c,c,1,7225,favorable,bottle,auspicious,austere,advantageous,auspicious,X,1,Showing,or,suggesting,that,future,success,is,likely,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,62,bilateral,youth,biannual,equation,BIANNUAL,P,1,4427,semiannual,2435,0,0,binomial,e,c,0,4443,youth,bilateral,biannual,equation,binomial,biannual,P,0,A,mathematical,expression,consisting,of,two,terms,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,63,Austen,truck,alchemy,Bronte,ALCHEMY,P,1,2449,alcott,1292,1,0,Alcott,e,e,1,2257,truck,Austen,alchemy,Bronte,Alcott,Alcott,X,0,Last,name,of,author,of,Little,Women,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,64,corpse,wine,canvas,skeleton,CANVAS,P,1,903,carcass,1484,1,0,carcass,a,a,1,1703,carcass,canvas,skeleton,corpse,wine,carcass,X,0,The,complete,remains,of,a,dead,"animal,",especially,at,a,butcher's,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,65,Tennyson,hum,thorny,Emerson,HUM,U,4,7803,howard,1318,0,0,Thoreau,b,b,1,12369,thorny,Thoreau,Tennyson,hum,Emerson,Thoreau,X,0,Last,name,of,American,transcendentalist,known,for,Walden,and,Civil,Disobedience,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,66,Hamilton,disc,handle,Jefferson,JEFFERSON,R,4,11131,henry,1329,0,0,Hancock,e,e,1,9067,disc,Hamilton,handle,Jefferson,Hancock,Hancock,X,0,Last,name,of,first,man,to,sign,the,Declaration,of,Independence,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,67,illuminate,noise,elusive,clarify,CLARIFY,R,1,5102,clarify,1740,0,Sem,elucidate,d,b,0,5128,illuminate,clarify,noise,elucidate,elusive,clarify,R,1,To,make,something,clear;,explain,in,detail,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,68,Bolivar,plug,baklava,Franco,BAKLAVA,P,1,3435,batista,1483,1,0,Batista,d,d,1,3574,Bolivar,Franco,plug,Batista,baklava,Batista,X,0,Cuban,president,overthrown,by,Castro,,,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,69,iniquitous,key,injured,thoughtless,INIQUITOUS,B,1,3646,idiot,1097,0,0,injudicious,d,d,1,12518,iniquitous,thoughtless,key,injudicious,injured,injudicious,X,1,Showing,poor,judgment;,unwise,,,,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,70,Yosemite,gate,yesterday,Glacier,GATE,U,4,4609,yellowstone,2635,1,0,Yellowstone,d,,0,0,Yosemite,Glacier,gate,Yellowstone,yesterday,0,X,0,National,park,in,which,Old,Faithful,is,located,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,71,opinionated,flute,obstretrician,persistent,OPINIONATED,B,4,8336,0,438,0,0,obstinate,e,e,1,7537,flute,opinionated,obstretrician,persistent,obstinate,obstinate,X,0,Stubbornly,refusing,to,change,one's,opinion,or,"action,",despite,"reason,","arguments,",or,persuasion,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,72,Mendel,plunge,manila,Ghandi,MENDEL,B,1,2428,mandela,1700,1,0,Mandela,c,c,1,3257,Ghandi,plunge,Mandela,manila,Mendel,Mandela,X,0,Last,name,of,South,African,imprisoned,for,27,years,before,becoming,president,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,73,presumptuous,work,pretending,gaudy,WORK,U,2,5777,0,262,0,0,pretentious,d,a,0,7035,presumptuous,gaudy,work,pretentious,pretending,presumptuous,B,0,Attempting,to,impress,by,affecting,greater,importance,or,talent,than,is,actually,possesssed,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,74,delete,egg,depth,consume,CONSUME,R,3,13051,0,2688,0,0,deplete,e,e,1,4395,egg,delete,depth,consume,deplete,deplete,X,0,To,empty,of,a,principal,substance;,to,exhaust,the,abundance,of,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,75,minimal,leash,meander,sparse,MINIMAL,B,2,0,0,2455,0,0,meager,c,e,0,11779,sparse,leash,meager,meander,minimal,minimal,B,0,Lacking,desirable,"qualities,",as,in,richness,or,strength,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,76,feverish,duck,forever,devout,DEVOUT,R,1,8718,desire,1424,0,0,fervent,a,a,1,13648,fervent,forever,devout,feverish,duck,fervent,X,0,Having,or,displaying,a,passionate,intensity,,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,77,mash,king,mice,cleave,MASH,B,1,1041,dice,1716,0,0,mince,b,b,1,3756,mice,mince,mash,king,cleave,mince,X,0,To,cut,or,chop,food,into,very,small,pieces,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,78,Cairo,banner,castle,Rabat,CASTLE,P,4,4743,morocco,6411,0,0,Casablanca,e,e,1,3857,banner,Cairo,castle,Rabat,Casablanca,Casablanca,X,0,Capital,of,Morocco,and,famous,movie,title,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,79,advance,plank,adverb,condone,ADVERB,P,3,4737,educate,7526,0,0,advocate,e,e,1,5369,plank,advance,adverb,condone,advocate,advocate,X,0,To,plead,the,cause,of,another;,to,support,or,promote,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,80,Hyde,igloo,hall,Salomon,SALOMON,R,2,8449,0,283,0,0,Hale,a,a,1,10790,Hale,hall,Salomon,Hyde,igloo,Hale,X,0,Last,name,of,man,known,for,saying,"I	only	regret	that	I	have	but	one	life	to	give	for	my	country",,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,81,Shelley,cave,ship,Wilde,CAVE,U,2,3073,0,233,0,0,Shaw,c,a,0,5225,Wilde,cave,Shaw,ship,Shelley,Wilde,R,0,Last,name,of,Irish,author,well,known,for,Pygmalion,and,Man,and,Superman,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,82,Lindell,cash,linoleum,Earhart,LINDELL,B,1,2625,lindbergh,2401,1,0,Lindbergh,a,a,1,2452,Lindbergh,linoleum,Earhart,Lindell,cash,Lindbergh,X,0,Last,name,of,first,person,to,fly,solo,nonstop,across,Atlantic,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,83,prognosis,trout,professor,vision,TROUT,U,1,5734,prophecy,2595,1,0,prophecy,e,e,1,4523,trout,prognosis,professor,vision,prophecy,prophecy,X,0,A,prediction,of,what,will,happen,in,the,future,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,84,allotment,screen,allergen,distribution,ALLERGEN,P,2,7313,0,201,0,0,allocation,c,e,0,6548,distribution,screen,allocation,allergen,allotment,allotment,B,1,Portion,set,aside,for,a,specific,purpose,or,to,particular,persons,or,things,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,85,Wilson,ball,wattage,Doyle,BALL,U,1,643,watson,2278,1,0,Watson,c,c,1,3345,Doyle,ball,Watson,wattage,Wilson,Watson,X,0,Last,name,of,Sherlock,Holmes',assistant,and,friend,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,86,literate,candle,locket,verbose,LITERATE,B,2,9163,0,230,0,0,loquacious,a,c,0,5590,loquacious,locket,verbose,literate,candle,verbose,R,1,Tending,to,talk,much,or,freely;,chatty,,,,,,,,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,87,initiate,brush,instantiate,provoke,INITIATE,B,2,9990,20,662,0,0,instigate,d,e,0,3339,initiate,provoke,brush,instigate,instantiate,instantiate,P,0,To,goad,or,push,forward;,to,incite,someone,to,do,"something,",especially,something,bad,,,,,,,,
6,Old,NotThePrime,tot not the prime,701,ExpProc1,88,premature,hunt,precursor,advanced,HUNT,U,2,8718,0,1217,0,0,precocious,e,c,0,11286,hunt,premature,precursor,advanced,precocious,precursor,P,0,Having,developed,certain,abilities,or,proclivities,at,an,earlier,age,than,usual,,,,,,,,,,
