TargetNo,Procedure,PrimeType,Rating,Target
11,Sound,Phonological,4.526315789,auspicious
11,Sound,Semantic,1.473684211,auspicious
12,Meaning,Both,4.380952381,banal
12,Meaning,Phonological,2.476190476,banal
12,Meaning,Semantic,4.904761905,banal
12,Sound,Both,4.315789474,banal
12,Sound,Phonological,4.894736842,banal
12,Sound,Semantic,1.684210526,banal
13,Meaning,Both,5.047619048,Bangkok
13,Meaning,Phonological,1.619047619,Bangkok
13,Meaning,Semantic,5.428571429,Bangkok
13,Sound,Both,4.526315789,Bangkok
13,Sound,Phonological,3.421052632,Bangkok
13,Sound,Semantic,1.157894737,Bangkok
14,Meaning,Both,6.19047619,barter
14,Meaning,Phonological,1.857142857,barter
14,Meaning,Semantic,3.666666667,barter
14,Sound,Both,5,barter
14,Sound,Phonological,4.684210526,barter
14,Sound,Semantic,2,barter
15,Meaning,Both,3.952380952,Batista
15,Meaning,Phonological,1.619047619,Batista
15,Meaning,Semantic,4.095238095,Batista
15,Sound,Both,3.105263158,Batista
15,Sound,Phonological,3.578947368,Batista
15,Sound,Semantic,1.315789474,Batista
16,Meaning,Both,5.857142857,bewilder
16,Meaning,Phonological,1.619047619,bewilder
16,Meaning,Semantic,5.523809524,bewilder
16,Sound,Both,4.789473684,bewilder
16,Sound,Phonological,3.263157895,bewilder
16,Sound,Semantic,1.578947368,bewilder
17,Meaning,Both,2.714285714,binomial
17,Meaning,Phonological,2.19047619,binomial
17,Meaning,Semantic,4.095238095,binomial
17,Sound,Both,4.631578947,binomial
17,Sound,Phonological,5.421052632,binomial
17,Sound,Semantic,2,binomial
18,Meaning,Both,3.714285714,Caracas
18,Meaning,Phonological,1.571428571,Caracas
18,Meaning,Semantic,4.380952381,Caracas
18,Sound,Both,3.789473684,Caracas
18,Sound,Phonological,4.736842105,Caracas
18,Sound,Semantic,1.315789474,Caracas
19,Meaning,Both,6.380952381,carcass
19,Meaning,Phonological,1.285714286,carcass
19,Meaning,Semantic,5.476190476,carcass
19,Sound,Both,3.684210526,carcass
19,Sound,Phonological,4.473684211,carcass
19,Sound,Semantic,2.315789474,carcass
20,Meaning,Both,4.571428571,Carroll
20,Meaning,Phonological,1.095238095,Carroll
20,Meaning,Semantic,4.952380952,Carroll
20,Sound,Both,3.315789474,Carroll
20,Sound,Phonological,4.421052632,Carroll
20,Sound,Semantic,1.842105263,Carroll
21,Meaning,Both,3.714285714,Carver
21,Meaning,Phonological,1.380952381,Carver
21,Meaning,Semantic,4.095238095,Carver
21,Sound,Both,4.736842105,Carver
21,Sound,Phonological,4.421052632,Carver
21,Sound,Semantic,1.473684211,Carver
22,Meaning,Both,4.571428571,Casablanca
22,Meaning,Phonological,1.714285714,Casablanca
22,Meaning,Semantic,3.857142857,Casablanca
22,Sound,Both,3.052631579,Casablanca
22,Sound,Phonological,3.789473684,Casablanca
22,Sound,Semantic,1.368421053,Casablanca
23,Meaning,Both,5.571428571,chameleon
23,Meaning,Phonological,1.380952381,chameleon
23,Meaning,Semantic,6,chameleon
23,Sound,Both,4.684210526,chameleon
23,Sound,Phonological,4.157894737,chameleon
23,Sound,Semantic,1.736842105,chameleon
24,Meaning,Both,3.80952381,Clay
24,Meaning,Phonological,1.333333333,Clay
24,Meaning,Semantic,4.904761905,Clay
24,Sound,Both,4.631578947,Clay
24,Sound,Phonological,5.052631579,Clay
24,Sound,Semantic,1.473684211,Clay
25,Meaning,Both,3.80952381,Clemens
25,Meaning,Phonological,1.333333333,Clemens
25,Meaning,Semantic,4.523809524,Clemens
25,Sound,Both,3.368421053,Clemens
25,Sound,Phonological,4.157894737,Clemens
25,Sound,Semantic,1.210526316,Clemens
26,Meaning,Both,5.19047619,congruent
26,Meaning,Phonological,2.428571429,congruent
26,Meaning,Semantic,5.238095238,congruent
26,Sound,Both,3.578947368,congruent
26,Sound,Phonological,4.631578947,congruent
26,Sound,Semantic,2,congruent
27,Meaning,Both,4.238095238,covenant
27,Meaning,Phonological,1.571428571,covenant
27,Meaning,Semantic,2.714285714,covenant
27,Sound,Both,4.157894737,covenant
27,Sound,Phonological,5.473684211,covenant
27,Sound,Semantic,1.315789474,covenant
28,Meaning,Both,3.952380952,Cummings
28,Meaning,Phonological,1.571428571,Cummings
28,Meaning,Semantic,4.095238095,Cummings
28,Sound,Both,5,Cummings
28,Sound,Phonological,5.157894737,Cummings
28,Sound,Semantic,1.947368421,Cummings
29,Meaning,Both,3.952380952,Dante
29,Meaning,Phonological,1.285714286,Dante
29,Meaning,Semantic,4.714285714,Dante
29,Sound,Both,5.210526316,Dante
29,Sound,Phonological,4.368421053,Dante
29,Sound,Semantic,1.105263158,Dante
30,Meaning,Both,4.619047619,Darfur
30,Meaning,Phonological,1.619047619,Darfur
30,Meaning,Semantic,5.095238095,Darfur
30,Sound,Both,4.105263158,Darfur
30,Sound,Phonological,4.578947368,Darfur
30,Sound,Semantic,1.315789474,Darfur
31,Meaning,Both,3.80952381,Dean
31,Meaning,Phonological,1.238095238,Dean
31,Meaning,Semantic,3.904761905,Dean
31,Sound,Both,3.052631579,Dean
31,Sound,Phonological,5.105263158,Dean
31,Sound,Semantic,1.684210526,Dean
32,Meaning,Both,2,default
32,Meaning,Phonological,1.380952381,default
32,Meaning,Semantic,3.333333333,default
32,Sound,Both,3.368421053,default
32,Sound,Phonological,4.105263158,default
32,Sound,Semantic,1.473684211,default
33,Meaning,Both,2.857142857,deference
33,Meaning,Phonological,1.952380952,deference
33,Meaning,Semantic,4.523809524,deference
33,Sound,Both,6,deference
33,Sound,Phonological,5.263157895,deference
33,Sound,Semantic,2,deference
34,Meaning,Both,4.80952381,denigrate
34,Meaning,Phonological,2.428571429,denigrate
34,Meaning,Semantic,5.571428571,denigrate
34,Sound,Both,3.894736842,denigrate
34,Sound,Phonological,4.631578947,denigrate
34,Sound,Semantic,1.526315789,denigrate
35,Meaning,Both,4.523809524,deplete
35,Meaning,Phonological,1.904761905,deplete
35,Meaning,Semantic,5.476190476,deplete
35,Sound,Both,6.368421053,deplete
35,Sound,Phonological,3.894736842,deplete
35,Sound,Semantic,1.526315789,deplete
36,Meaning,Both,5.476190476,diverge
36,Meaning,Phonological,1.619047619,diverge
36,Meaning,Semantic,6.047619048,diverge
36,Sound,Both,4.157894737,diverge
36,Sound,Phonological,4,diverge
36,Sound,Semantic,1.421052632,diverge
37,Meaning,Both,4.904761905,eccentric
37,Meaning,Phonological,2.714285714,eccentric
37,Meaning,Semantic,5.666666667,eccentric
37,Sound,Both,5.052631579,eccentric
37,Sound,Phonological,5.578947368,eccentric
37,Sound,Semantic,1.210526316,eccentric
38,Meaning,Both,4.714285714,elucidate
38,Meaning,Phonological,2.619047619,elucidate
38,Meaning,Semantic,5,elucidate
38,Sound,Both,4.842105263,elucidate
38,Sound,Phonological,5,elucidate
38,Sound,Semantic,1.684210526,elucidate
39,Meaning,Both,3.333333333,embryology
39,Meaning,Phonological,2.047619048,embryology
39,Meaning,Semantic,5,embryology
39,Sound,Both,5.263157895,embryology
39,Sound,Phonological,4.368421053,embryology
39,Sound,Semantic,2.684210526,embryology
40,Meaning,Both,3.333333333,epithet
40,Meaning,Phonological,1.142857143,epithet
40,Meaning,Semantic,3.238095238,epithet
40,Sound,Both,6.052631579,epithet
40,Sound,Phonological,5.421052632,epithet
40,Sound,Semantic,1.421052632,epithet
41,Meaning,Both,4.095238095,facetious
41,Meaning,Phonological,2,facetious
41,Meaning,Semantic,4.857142857,facetious
41,Sound,Both,4.368421053,facetious
41,Sound,Phonological,4.421052632,facetious
41,Sound,Semantic,2.105263158,facetious
42,Meaning,Both,3.19047619,fervent
42,Meaning,Phonological,2.19047619,fervent
42,Meaning,Semantic,4.571428571,fervent
42,Sound,Both,5.210526316,fervent
42,Sound,Phonological,4.157894737,fervent
42,Sound,Semantic,2,fervent
43,Meaning,Both,5.428571429,foliage
43,Meaning,Phonological,1.476190476,foliage
43,Meaning,Semantic,5.904761905,foliage
43,Sound,Both,4.157894737,foliage
43,Sound,Phonological,4.105263158,foliage
43,Sound,Semantic,1.157894737,foliage
44,Meaning,Both,5.095238095,fortuitous
44,Meaning,Phonological,3.047619048,fortuitous
44,Meaning,Semantic,2.380952381,fortuitous
44,Sound,Both,5.578947368,fortuitous
44,Sound,Phonological,4.263157895,fortuitous
44,Sound,Semantic,1.473684211,fortuitous
45,Meaning,Both,3.666666667,Garland
45,Meaning,Phonological,2.19047619,Garland
45,Meaning,Semantic,3.523809524,Garland
45,Sound,Both,4.842105263,Garland
45,Sound,Phonological,4.736842105,Garland
45,Sound,Semantic,1.263157895,Garland
46,Meaning,Both,4.047619048,Gershwin
46,Meaning,Phonological,1.761904762,Gershwin
46,Meaning,Semantic,4.428571429,Gershwin
46,Sound,Both,4.526315789,Gershwin
46,Sound,Phonological,3.789473684,Gershwin
46,Sound,Semantic,1.894736842,Gershwin
47,Meaning,Both,2.904761905,gosling
47,Meaning,Phonological,1.857142857,gosling
47,Meaning,Semantic,3.142857143,gosling
47,Sound,Both,5,gosling
47,Sound,Phonological,4.842105263,gosling
47,Sound,Semantic,1.315789474,gosling
48,Meaning,Both,3.666666667,Hale
48,Meaning,Phonological,1.238095238,Hale
48,Meaning,Semantic,3.095238095,Hale
48,Sound,Both,3.842105263,Hale
48,Sound,Phonological,5.736842105,Hale
48,Sound,Semantic,1.315789474,Hale
49,Meaning,Both,4.476190476,Hancock
49,Meaning,Phonological,1.380952381,Hancock
49,Meaning,Semantic,5.761904762,Hancock
49,Sound,Both,3.684210526,Hancock
49,Sound,Phonological,4,Hancock
49,Sound,Semantic,1.578947368,Hancock
50,Meaning,Both,3.952380952,Helsinki
50,Meaning,Phonological,1.476190476,Helsinki
50,Meaning,Semantic,5.714285714,Helsinki
50,Sound,Both,4.473684211,Helsinki
50,Sound,Phonological,3.157894737,Helsinki
50,Sound,Semantic,1.210526316,Helsinki
51,Meaning,Both,4.904761905,hemorrhage
51,Meaning,Phonological,1.476190476,hemorrhage
51,Meaning,Semantic,4.523809524,hemorrhage
51,Sound,Both,4.473684211,hemorrhage
51,Sound,Phonological,3.842105263,hemorrhage
51,Sound,Semantic,1.684210526,hemorrhage
52,Meaning,Both,3.571428571,herbaceous
52,Meaning,Phonological,2.238095238,herbaceous
52,Meaning,Semantic,4.380952381,herbaceous
52,Sound,Both,5.421052632,herbaceous
52,Sound,Phonological,4.157894737,herbaceous
52,Sound,Semantic,1.263157895,herbaceous
53,Meaning,Both,4.904761905,hoist
53,Meaning,Phonological,1.571428571,hoist
53,Meaning,Semantic,3.714285714,hoist
53,Sound,Both,3.473684211,hoist
53,Sound,Phonological,4.052631579,hoist
53,Sound,Semantic,1.842105263,hoist
54,Meaning,Both,4.428571429,idiosyncrasy
54,Meaning,Phonological,3.333333333,idiosyncrasy
54,Meaning,Semantic,4.619047619,idiosyncrasy
54,Sound,Both,3.894736842,idiosyncrasy
54,Sound,Phonological,4.842105263,idiosyncrasy
54,Sound,Semantic,1.947368421,idiosyncrasy
55,Meaning,Both,2.666666667,injudicious
55,Meaning,Phonological,2.142857143,injudicious
55,Meaning,Semantic,3.666666667,injudicious
55,Sound,Both,5.210526316,injudicious
55,Sound,Phonological,4.684210526,injudicious
55,Sound,Semantic,1.789473684,injudicious
56,Meaning,Both,5.19047619,instigate
56,Meaning,Phonological,2.952380952,instigate
56,Meaning,Semantic,6.047619048,instigate
56,Sound,Both,5.842105263,instigate
56,Sound,Phonological,5.947368421,instigate
56,Sound,Semantic,1.421052632,instigate
57,Meaning,Both,4.238095238,interject
57,Meaning,Phonological,3.380952381,interject
57,Meaning,Semantic,5.142857143,interject
57,Sound,Both,4.368421053,interject
57,Sound,Phonological,3.473684211,interject
57,Sound,Semantic,1.789473684,interject
58,Meaning,Both,3.571428571,libel
58,Meaning,Phonological,1.380952381,libel
58,Meaning,Semantic,4.619047619,libel
58,Sound,Both,3.736842105,libel
58,Sound,Phonological,6.263157895,libel
58,Sound,Semantic,1.421052632,libel
59,Meaning,Both,4.047619048,Lindbergh
59,Meaning,Phonological,1.380952381,Lindbergh
59,Meaning,Semantic,5.238095238,Lindbergh
59,Sound,Both,5.315789474,Lindbergh
59,Sound,Phonological,4.368421053,Lindbergh
59,Sound,Semantic,1.473684211,Lindbergh
60,Meaning,Both,3.285714286,loquacious
60,Meaning,Phonological,1.80952381,loquacious
60,Meaning,Semantic,5.428571429,loquacious
60,Sound,Both,3.315789474,loquacious
60,Sound,Phonological,3.736842105,loquacious
60,Sound,Semantic,1.789473684,loquacious
61,Meaning,Both,3.428571429,Mandela
61,Meaning,Phonological,1.714285714,Mandela
61,Meaning,Semantic,5.761904762,Mandela
61,Sound,Both,5.631578947,Mandela
61,Sound,Phonological,5.315789474,Mandela
61,Sound,Semantic,1.210526316,Mandela
62,Meaning,Both,5.857142857,meager
62,Meaning,Phonological,2,meager
62,Meaning,Semantic,5.952380952,meager
62,Sound,Both,3.526315789,meager
62,Sound,Phonological,5.526315789,meager
62,Sound,Semantic,2.473684211,meager
63,Meaning,Both,4.047619048,Miller
63,Meaning,Phonological,1.380952381,Miller
63,Meaning,Semantic,3.904761905,Miller
63,Sound,Both,4.105263158,Miller
63,Sound,Phonological,4.315789474,Miller
63,Sound,Semantic,1.473684211,Miller
64,Meaning,Both,5.238095238,mince
64,Meaning,Phonological,1.428571429,mince
64,Meaning,Semantic,4.857142857,mince
64,Sound,Both,4.157894737,mince
64,Sound,Phonological,5.368421053,mince
64,Sound,Semantic,1.736842105,mince
65,Meaning,Both,3.19047619,monotony
65,Meaning,Phonological,2.19047619,monotony
65,Meaning,Semantic,4.761904762,monotony
65,Sound,Both,6,monotony
65,Sound,Phonological,4.473684211,monotony
65,Sound,Semantic,1.736842105,monotony
66,Meaning,Both,5.238095238,Nairobi
66,Meaning,Phonological,1.380952381,Nairobi
66,Meaning,Semantic,4.571428571,Nairobi
66,Sound,Both,4.736842105,Nairobi
66,Sound,Phonological,4.368421053,Nairobi
66,Sound,Semantic,2.578947368,Nairobi
67,Meaning,Both,5.80952381,nullify
67,Meaning,Phonological,3.428571429,nullify
67,Meaning,Semantic,6.19047619,nullify
67,Sound,Both,3.947368421,nullify
67,Sound,Phonological,3.368421053,nullify
67,Sound,Semantic,2.105263158,nullify
68,Meaning,Both,4.047619048,Nuremberg
68,Meaning,Phonological,1.523809524,Nuremberg
68,Meaning,Semantic,4.857142857,Nuremberg
68,Sound,Both,4.157894737,Nuremberg
68,Sound,Phonological,4.263157895,Nuremberg
68,Sound,Semantic,1.631578947,Nuremberg
69,Meaning,Both,4.666666667,O'Connor
69,Meaning,Phonological,1.19047619,O'Connor
69,Meaning,Semantic,4.19047619,O'Connor
69,Sound,Both,5.421052632,O'Connor
69,Sound,Phonological,4.368421053,O'Connor
69,Sound,Semantic,1.315789474,O'Connor
70,Meaning,Both,4.619047619,obscure
70,Meaning,Phonological,4.952380952,obscure
70,Meaning,Semantic,4.19047619,obscure
70,Sound,Both,4.263157895,obscure
70,Sound,Phonological,5.368421053,obscure
70,Sound,Semantic,2.368421053,obscure
71,Meaning,Both,4.047619048,obstinate
71,Meaning,Phonological,1.761904762,obstinate
71,Meaning,Semantic,5.047619048,obstinate
71,Sound,Both,3.526315789,obstinate
71,Sound,Phonological,5.368421053,obstinate
71,Sound,Semantic,2.052631579,obstinate
72,Meaning,Both,5,omnipotent
72,Meaning,Phonological,2.523809524,omnipotent
72,Meaning,Semantic,3.380952381,omnipotent
72,Sound,Both,5.842105263,omnipotent
72,Sound,Phonological,5,omnipotent
72,Sound,Semantic,2,omnipotent
73,Meaning,Both,3.19047619,ornithology
73,Meaning,Phonological,2.047619048,ornithology
73,Meaning,Semantic,3.761904762,ornithology
73,Sound,Both,4.473684211,ornithology
73,Sound,Phonological,3.631578947,ornithology
73,Sound,Semantic,2.631578947,ornithology
74,Meaning,Both,3.571428571,ostentatious
74,Meaning,Phonological,2.047619048,ostentatious
74,Meaning,Semantic,5.142857143,ostentatious
74,Sound,Both,3.157894737,ostentatious
74,Sound,Phonological,5.263157895,ostentatious
74,Sound,Semantic,1.631578947,ostentatious
75,Meaning,Both,4,Oswald
75,Meaning,Phonological,1.428571429,Oswald
75,Meaning,Semantic,4.714285714,Oswald
75,Sound,Both,4.157894737,Oswald
75,Sound,Phonological,4.157894737,Oswald
75,Sound,Semantic,1.157894737,Oswald
76,Meaning,Both,6.380952381,Ottawa
76,Meaning,Phonological,1.380952381,Ottawa
76,Meaning,Semantic,6.333333333,Ottawa
76,Sound,Both,3.684210526,Ottawa
76,Sound,Phonological,5.210526316,Ottawa
76,Sound,Semantic,2,Ottawa
77,Meaning,Both,3.142857143,panacea
77,Meaning,Phonological,1.142857143,panacea
77,Meaning,Semantic,4.095238095,panacea
77,Sound,Both,3.368421053,panacea
77,Sound,Phonological,4.052631579,panacea
77,Sound,Semantic,1.210526316,panacea
78,Meaning,Both,3.19047619,paragon
78,Meaning,Phonological,1.476190476,paragon
78,Meaning,Semantic,4.571428571,paragon
78,Sound,Both,5.684210526,paragon
78,Sound,Phonological,4.736842105,paragon
78,Sound,Semantic,2.105263158,paragon
79,Meaning,Both,4.428571429,polygamy
79,Meaning,Phonological,2.047619048,polygamy
79,Meaning,Semantic,4.333333333,polygamy
79,Sound,Both,3.631578947,polygamy
79,Sound,Phonological,5.263157895,polygamy
79,Sound,Semantic,1.368421053,polygamy
80,Meaning,Both,3.80952381,Prague
80,Meaning,Phonological,1.380952381,Prague
80,Meaning,Semantic,4.80952381,Prague
80,Sound,Both,2.894736842,Prague
80,Sound,Phonological,4.842105263,Prague
80,Sound,Semantic,2.105263158,Prague
81,Meaning,Both,3.619047619,precocious
81,Meaning,Phonological,2.476190476,precocious
81,Meaning,Semantic,3.666666667,precocious
81,Sound,Both,3.894736842,precocious
81,Sound,Phonological,5.210526316,precocious
81,Sound,Semantic,1.368421053,precocious
82,Meaning,Both,4.238095238,pretentious
82,Meaning,Phonological,3.904761905,pretentious
82,Meaning,Semantic,5.047619048,pretentious
82,Sound,Both,5.526315789,pretentious
82,Sound,Phonological,5.368421053,pretentious
82,Sound,Semantic,1.736842105,pretentious
83,Meaning,Both,3.476190476,prophecy
83,Meaning,Phonological,1.952380952,prophecy
83,Meaning,Semantic,6.095238095,prophecy
83,Sound,Both,4.105263158,prophecy
83,Sound,Phonological,5,prophecy
83,Sound,Semantic,1.894736842,prophecy
84,Meaning,Both,3.523809524,proposition
84,Meaning,Phonological,3.095238095,proposition
84,Meaning,Semantic,5.095238095,proposition
84,Sound,Both,4.947368421,proposition
84,Sound,Phonological,4.684210526,proposition
84,Sound,Semantic,1.631578947,proposition
85,Meaning,Both,3.333333333,Quayle
85,Meaning,Phonological,1.19047619,Quayle
85,Meaning,Semantic,4.19047619,Quayle
85,Sound,Both,4.736842105,Quayle
85,Sound,Phonological,5.368421053,Quayle
85,Sound,Semantic,2.210526316,Quayle
86,Meaning,Both,4.285714286,recapitulate
86,Meaning,Phonological,2.666666667,recapitulate
86,Meaning,Semantic,3.380952381,recapitulate
86,Sound,Both,4.526315789,recapitulate
86,Sound,Phonological,5.631578947,recapitulate
86,Sound,Semantic,1.631578947,recapitulate
87,Meaning,Both,3.047619048,Revere
87,Meaning,Phonological,2.142857143,Revere
87,Meaning,Semantic,4.523809524,Revere
87,Sound,Both,5.263157895,Revere
87,Sound,Phonological,5.473684211,Revere
87,Sound,Semantic,1.105263158,Revere
88,Meaning,Both,3.857142857,Robinson
88,Meaning,Phonological,1.285714286,Robinson
88,Meaning,Semantic,3.904761905,Robinson
88,Sound,Both,5.210526316,Robinson
88,Sound,Phonological,4.789473684,Robinson
88,Sound,Semantic,1.315789474,Robinson
89,Meaning,Both,5.142857143,Seoul
89,Meaning,Phonological,1,Seoul
89,Meaning,Semantic,5.476190476,Seoul
89,Sound,Both,3.368421053,Seoul
89,Sound,Phonological,3.789473684,Seoul
89,Sound,Semantic,1.736842105,Seoul
90,Meaning,Both,4,Shaw
90,Meaning,Phonological,1.523809524,Shaw
90,Meaning,Semantic,3.80952381,Shaw
90,Sound,Both,4.526315789,Shaw
90,Sound,Phonological,3.631578947,Shaw
90,Sound,Semantic,1.473684211,Shaw
91,Meaning,Both,5.333333333,Sicily
91,Meaning,Phonological,1.476190476,Sicily
91,Meaning,Semantic,5.238095238,Sicily
91,Sound,Both,3.631578947,Sicily
91,Sound,Phonological,5.315789474,Sicily
91,Sound,Semantic,2,Sicily
92,Meaning,Both,5.714285714,Skywalker
92,Meaning,Phonological,1.952380952,Skywalker
92,Meaning,Semantic,5.714285714,Skywalker
92,Sound,Both,2.684210526,Skywalker
92,Sound,Phonological,4.842105263,Skywalker
92,Sound,Semantic,1.526315789,Skywalker
93,Meaning,Both,4.380952381,Stockholm
93,Meaning,Phonological,1.333333333,Stockholm
93,Meaning,Semantic,5.380952381,Stockholm
93,Sound,Both,2.894736842,Stockholm
93,Sound,Phonological,4.368421053,Stockholm
93,Sound,Semantic,1.684210526,Stockholm
94,Meaning,Both,3.761904762,taciturn
94,Meaning,Phonological,1.904761905,taciturn
94,Meaning,Semantic,4.095238095,taciturn
94,Sound,Both,3.526315789,taciturn
94,Sound,Phonological,3.526315789,taciturn
94,Sound,Semantic,1.421052632,taciturn
95,Meaning,Both,4.761904762,Thoreau
95,Meaning,Phonological,1.523809524,Thoreau
95,Meaning,Semantic,4.857142857,Thoreau
95,Sound,Both,3,Thoreau
95,Sound,Phonological,4.157894737,Thoreau
95,Sound,Semantic,1.526315789,Thoreau
96,Meaning,Both,5.619047619,tic
96,Meaning,Phonological,1.238095238,tic
96,Meaning,Semantic,4.19047619,tic
96,Sound,Both,4.421052632,tic
96,Sound,Phonological,6,tic
96,Sound,Semantic,2.052631579,tic
97,Meaning,Both,5.619047619,tsunami
97,Meaning,Phonological,1.238095238,tsunami
97,Meaning,Semantic,5.523809524,tsunami
97,Sound,Both,3.157894737,tsunami
97,Sound,Phonological,3.210526316,tsunami
97,Sound,Semantic,1.578947368,tsunami
98,Meaning,Both,4.476190476,Watson
98,Meaning,Phonological,1.80952381,Watson
98,Meaning,Semantic,4.952380952,Watson
98,Sound,Both,4.736842105,Watson
98,Sound,Phonological,5.578947368,Watson
98,Sound,Semantic,1.315789474,Watson
99,Meaning,Both,3.666666667,Wayne
99,Meaning,Phonological,1.238095238,Wayne
99,Meaning,Semantic,4.857142857,Wayne
99,Sound,Both,3.631578947,Wayne
99,Sound,Phonological,5.052631579,Wayne
99,Sound,Semantic,1.263157895,Wayne
100,Meaning,Both,6.333333333,Yellowstone
100,Meaning,Phonological,1.19047619,Yellowstone
100,Meaning,Semantic,4.380952381,Yellowstone
100,Sound,Both,4.526315789,Yellowstone
100,Sound,Phonological,4.368421053,Yellowstone
100,Sound,Semantic,1.105263158,Yellowstone
